ORG_ID,ORG_NAME,DOMAIN,EMPLOYEE_RANGE,CREATED_AT
100000001,Daily Planet,dailyplanet.com,1000+,2022-03-21 01:00:40.000
100000002,Common Space Design,commonspacedesign.com,500-1000,2022-03-23 00:39:09.000
100000003,Project Shef,projectshef.com,1000+,2022-03-23 16:40:09.000
100000004,Good Burger,goodburger.com,500-1000,2022-03-24 11:18:21.000
100000005,Duff Beer,duffbeer.com,1000+,2022-03-25 03:44:37.000
100000006,Mixed Up Reality,mixedupreality.com,500-1000,2022-03-25 08:44:14.000
100000007,Golddex,golddex.com,1000+,2022-03-26 14:00:13.000
100000008,Vandelay Industries,vandelayindustries.com,500-1000,2022-03-27 05:55:02.000
100000009,Lomax Industries,lomaxindustries.ai,50-99,2022-03-27 14:27:03.000
100000010,Bioholding,bioholding.com,500-1000,2022-03-27 17:27:30.000
100000011,SPECTRE,spectre.com,1000+,2022-03-28 10:28:02.000